Ano,Mês,Total,Date mais recente
2024,janeiro,41661,2024-01-01 00:00:00
2024,fevereiro,30372,2024-02-01 00:00:00
2024,março,37785,2024-03-01 00:00:00
2024,abril,43087,2024-04-01 00:00:00
2024,maio,35988,2024-05-01 00:00:00
2024,junho,35034,2024-06-01 00:00:00
2024,julho,39335,2024-07-01 00:00:00
2024,agosto,34859,2024-08-01 00:00:00
2024,setembro,39480,2024-09-01 00:00:00
2024,outubro,31725,2024-10-01 00:00:00
